reviewId;reviewEditCode;company;seniority;jobTitle;reviewBody;reaction1;reaction2;reaction3;reaction4
3c40c90d-4670-4493-b512-cdfb989dbec0;2dc7fd25-26d6-485d-af32-f18b928875d5;Netflix;Junior;Back-End Developer;Velit ad elit commodo ex esse consectetur, fugiat nulla id ut fugiat est deserunt, nulla sunt enim qui culpa esse deserunt. Commodo culpa consectetur irure. Veniam fugiat do do. Sunt adipiscing eiusmod sint culpa labore. Cupidatat deserunt ullamco dolor laboris. Fugiat aliqua ad dolor qui. Magna ullamco id elit. Duis pariatur mollit exercitation.;0;0;3;2
dace2cf3-d6b7-467b-be7d-eff4b540dcfb;7d7768ee-e269-43dd-88fa-220ccdc8caa5;Netflix;Mid-level;QA Developer;Dolor duis veniam cillum. Dolor pariatur dolore aliqua cillum sunt excepteur. Labore irure eu proident. Culpa fugiat aute est commodo ipsum, sit quis enim do. Aliquip aliqua commodo magna sed.;2;0;0;0
38153cb0-3194-4a00-8eb9-69287556f68a;b96ef56e-90b0-43b8-9ab5-2fb89b271884;Google;Mid-level;Back-End Developer;"Quis ad laboris id. Consequat lorem et non duis. Velit lorem sed occaecat aliquip lorem. Ex sunt nostrud et deserunt voluptate eiusmod, eu in ipsum et tempor. Nulla non do ut. Proident cupidatat enim dolore, et officia do esse. Sunt consectetur ut esse ex proident. Ex sunt laborum incididunt magna id.
Elit aute mollit eu commodo amet mollit aliquip, aliquip velit aliqua nisi lorem proident nulla. Lorem mollit ut quis eu, duis consectetur nostrud cillum deserunt velit consequat. Sed ullamco incididunt fugiat elit. Proident duis ex amet nisi occaecat esse. Dolore dolore do irure irure. Mollit eu id esse.";5;1;0;0
68dc9e75-6b16-438e-affc-2799d578593f;6e622f6b-2806-4fe6-9a98-9b074ee8c834;Klarna;Lead;Mobile Developer;"Eu in quis in mollit aliqua. Excepteur sit occaecat commodo minim, sed laborum eiusmod minim aliquip ad anim ex. Quis et ipsum ut in. Tempor mollit irure officia anim commodo. Nulla aliquip ex veniam laboris ad. Velit consequat sint enim ea anim.
Ullamco ex sint officia ad eiusmod eu est. Adipiscing quis ut anim. Ullamco ex pariatur officia sed anim, incididunt ex lorem minim aute reprehenderit incididunt. Duis irure velit voluptate pariatur, proident et amet fugiat proident. Est nostrud aute aliqua nostrud reprehenderit enim tempor, laborum elit laborum ad sunt eu aliqua. Eiusmod sunt pariatur labore consectetur eu velit eiusmod.
Ipsum deserunt dolor veniam lorem enim incididunt. Mollit esse laborum id. Sit labore esse voluptate. Sunt deserunt irure irure nulla in enim. In qui magna tempor amet lorem. Amet mollit ut lorem.";9;0;0;0
b742d9fd-4b4d-43bf-9853-908e37b90bfe;f0789681-62ea-43b9-9453-e9492dc5c51a;iZettle;Mid-level;Back-End Developer;"Laborum sit sint non. Amet non sit aute, culpa et quis sunt ullamco adipiscing esse, sed culpa sit consectetur culpa in laboris enim. Duis voluptate ad duis excepteur non duis fugiat. Minim sint reprehenderit amet pariatur et culpa ut. Occaecat ullamco est eu sint tempor. Veniam labore cupidatat enim.
Non consectetur ullamco eu in quis sint amet. Culpa non excepteur excepteur incididunt nisi aliquip sunt, exercitation commodo tempor elit reprehenderit. Cupidatat exercitation ea laborum dolore pariatur. Nostrud irure nulla anim irure amet. Occaecat consequat est elit sint ea. Culpa labore fugiat minim minim officia pariatur. Laborum veniam laborum quis exercitation proident. Eiusmod in aliquip est quis. Nisi veniam eiusmod est culpa sed elit, adipiscing aute cupidatat cupidatat tempor, irure exercitation proident non occaecat pariatur. Elit eiusmod enim minim qui aliqua.
Labore incididunt proident voluptate excepteur pariatur laboris. Duis ad eiusmod aliquip tempor amet pariatur. Duis irure anim nisi nisi non. Proident aliquip velit duis, ipsum anim esse ea laborum sit in veniam. Velit officia tempor lorem consectetur laboris consectetur, commodo id reprehenderit est laborum, veniam aliqua cupidatat aliqua est pariatur ipsum. Nulla duis adipiscing laboris esse magna laboris mollit. Reprehenderit esse eu lorem. Cillum sit nulla ad aliquip, sit non adipiscing magna. Velit culpa duis sint minim sit elit. Ut cillum laborum do elit.";9;0;3;0
e0cc8333-101e-4f6d-be88-cc7541603d04;037827ea-b1a5-4d32-b2da-c7b6420a87b9;Apple;Mid-level;UX Designer;"Lorem consequat nulla eu consectetur. Culpa voluptate in proident non voluptate, mollit cupidatat proident non exercitation qui cillum laborum, enim nulla laboris eiusmod sit irure consequat eu. Anim mollit pariatur ad in voluptate labore. Sed sed aliqua anim consequat laborum ipsum, deserunt elit fugiat nostrud ut, anim id nulla qui. Esse elit magna velit quis dolore, adipiscing ipsum sunt ipsum pariatur ex consectetur aute, ut qui adipiscing enim ex id do labore. Nisi nostrud nisi do proident excepteur exercitation, veniam tempor velit tempor duis aute anim duis. Voluptate veniam proident adipiscing magna ut esse aute. Proident eiusmod eiusmod lorem esse, non eiusmod qui nisi qui consequat elit magna, quis ipsum quis enim officia.
Incididunt ex incididunt nisi laborum, minim reprehenderit cillum amet irure lorem duis deserunt. Dolor minim mollit sit, ea sint incididunt mollit, consequat et minim reprehenderit qui quis minim. Aliqua labore sint excepteur proident. Dolor culpa irure ipsum exercitation occaecat fugiat, dolor commodo consectetur reprehenderit ea. Qui deserunt dolor laboris sit sint veniam, exercitation dolor magna sed sed. Culpa quis nulla quis nulla sint, minim laborum veniam consectetur eiusmod id nisi.
Mollit ut quis deserunt ea ad incididunt. Duis elit occaecat sed est eu consectetur, est est ad ea reprehenderit consequat nostrud ipsum. Do sunt ea mollit mollit adipiscing. Sit nisi non aliqua duis esse proident adipiscing. Aute ex sit officia qui anim. Ullamco est dolore excepteur cupidatat. Sit ad sit exercitation elit tempor occaecat magna. Ullamco sunt minim elit magna. Consequat consectetur lorem nulla dolore lorem laborum duis, tempor cillum anim culpa duis exercitation, sunt duis lorem culpa dolore do officia. Dolore amet laborum consectetur ipsum.";0;0;2;0
549a7f71-a9d0-49ef-ac4a-8c01b04ac0a5;09272aea-512b-44ad-91cb-ceb305c3b516;Netflix;Mid-level;QA Developer;Et culpa cupidatat pariatur ipsum aliquip do in. Consequat ullamco minim proident laboris do consequat. Ea commodo exercitation tempor enim nisi incididunt, ullamco nostrud aliquip fugiat incididunt consectetur laborum mollit. Cillum aute laboris irure anim dolore aliquip voluptate. Sint elit magna tempor. Sint reprehenderit laborum proident quis. Exercitation sit aliqua enim proident id enim. Est ullamco deserunt elit exercitation officia est, consectetur dolor nulla lorem fugiat.;10;0;0;1
44727df4-eb14-4fd6-910d-0ae5ad2c2af2;be83633d-bbab-451f-ab6d-fcf8951d9ef5;Netflix;Senior;Cloud Engineer;"Proident voluptate enim occaecat, esse sed magna et enim aliquip enim. Aute id magna non aliqua, pariatur est sint voluptate consequat. Amet veniam anim cillum consectetur. Cillum quis excepteur labore dolor proident. Deserunt cillum incididunt et sit aliqua magna do.
Ullamco culpa adipiscing voluptate. Ex in commodo mollit laboris exercitation incididunt, in sed magna dolor tempor enim lorem. Irure nostrud do et tempor nisi enim adipiscing, exercitation nulla consectetur est ex. Sunt cupidatat laboris est fugiat culpa nisi, velit proident magna culpa ad culpa dolore amet. Voluptate exercitation sed nulla. Irure in incididunt laborum magna.
Magna officia ipsum occaecat eu in cupidatat. Esse mollit enim nostrud mollit consequat sunt. Aliqua velit enim do, pariatur nisi minim culpa ex consectetur. Nisi sint enim amet anim reprehenderit ea exercitation, nulla officia cillum laborum minim excepteur ea eiusmod. Sunt irure amet irure voluptate ex ex ex. Sint sint laborum culpa proident sint eu, ipsum sunt sed sint nulla incididunt ad in.";13;0;0;1
a96d0834-58eb-4534-830d-c0189cb78b7e;6bcb5e00-f301-4c60-94ad-f2660815db8e;Spotify;Mid-level;Back-End Developer;Eu duis culpa tempor occaecat. Ipsum elit anim in do nisi duis. Incididunt reprehenderit labore non eiusmod fugiat enim. Amet nostrud consectetur anim cillum ullamco, in eu laborum laborum occaecat ad veniam cillum. Est sint ad aute. Ea sint exercitation qui commodo magna velit proident.;0;1;1;2
3a534aef-73f5-4e48-8702-97be0babaed4;bf528ce5-7220-45f3-847e-cd22ecc4e2db;Apple;Mid-level;Back-End Developer;"Adipiscing laborum sed duis commodo ea pariatur commodo. Lorem culpa commodo cupidatat id occaecat, sint tempor deserunt officia id. Ullamco magna enim exercitation labore, in mollit enim minim sint. Eiusmod cupidatat est eiusmod enim. Cillum officia laborum aliquip nostrud. Id qui laboris qui magna aliquip dolore officia. Qui amet id mollit aute. Do nostrud sint in. Qui labore nostrud mollit aute ea, consectetur occaecat aliqua non nulla. Aliqua esse eu voluptate pariatur esse.
Ad velit excepteur exercitation, velit sunt reprehenderit ipsum proident. Nostrud velit fugiat cillum ea quis, non est non aliquip commodo aute. Do ullamco reprehenderit fugiat non enim tempor. Mollit duis eu laboris. Sunt ullamco fugiat deserunt. Enim qui sunt duis tempor deserunt deserunt culpa.
Excepteur aliqua enim velit est ad, proident ea sit deserunt, incididunt mollit consequat officia minim labore ullamco. Voluptate dolor mollit occaecat ipsum. Exercitation ipsum pariatur commodo qui est, tempor et consectetur enim nulla magna. Occaecat aliquip proident sit. Tempor excepteur cillum ex pariatur eu consequat. Ex incididunt nisi tempor nulla. Excepteur laboris elit ex mollit labore mollit. Nostrud labore consequat ad enim fugiat sed qui. Ut voluptate pariatur ea occaecat sit ad. Sint consectetur tempor labore laboris lorem est.";9;0;1;0
