company;reviewId;reviewEditCode;jobDescription;reviewBody;reaction1;reaction2;reaction3;reaction4;country
Spotify;ac0f212f;2627d55f;Senior QA Developer;"Excepteur qui ex anim ad. Tempor ut amet voluptate amet duis tempor ea. Laborum eu est nulla id. Mollit adipiscing commodo eiusmod mollit. Dolor aute quis et. Dolor in cillum duis ut incididunt, commodo magna sint ipsum voluptate, consectetur anim reprehenderit culpa ad. Sunt magna excepteur elit ea duis. Fugiat laborum aliqua exercitation eu, sunt incididunt ullamco duis fugiat aute lorem, consectetur elit nostrud sunt commodo. Elit consequat ullamco culpa nulla minim, id ad sunt adipiscing duis proident consectetur fugiat.
Qui velit magna officia veniam. Ad aliquip adipiscing sint fugiat et, ut voluptate dolor nostrud commodo magna non reprehenderit. Anim sit in do amet qui cillum non. Ipsum aute veniam elit. Culpa aliqua elit sint proident, occaecat do elit cillum ipsum esse labore. Esse irure nostrud commodo voluptate. Amet pariatur culpa occaecat reprehenderit dolor incididunt eiusmod, minim magna cupidatat adipiscing dolor enim incididunt. Occaecat adipiscing ex do laborum nisi mollit adipiscing, velit ullamco labore minim esse non ea.";2;0;0;1;fi
Mojang;ea88f818;2059a5ea;Principal UX Designer;Voluptate enim quis cillum veniam in, adipiscing occaecat aute adipiscing culpa sunt nostrud voluptate. Veniam ipsum ea amet. Sit proident pariatur qui culpa aute cupidatat eu. Qui excepteur laborum do lorem, ex nulla fugiat aliqua deserunt veniam anim. Velit non velit aute exercitation aliquip magna sunt. Mollit incididunt cillum deserunt ex ex ea aliqua. Eu nisi tempor minim aliqua lorem. Mollit nisi ut eu magna. Enim exercitation officia minim amet veniam pariatur deserunt, velit ea sit esse sint lorem dolor, labore duis nisi pariatur laboris enim est qui.;0;3;2;0;in
Klarna;df86a674;f7f87043;Mid-level DevOps Engineer;"Ut enim occaecat enim amet. Sed culpa anim anim dolor elit veniam, enim labore enim exercitation proident. Enim non laborum commodo ut minim, lorem exercitation nulla cillum proident. Proident dolore ex sunt, incididunt nisi pariatur velit duis ipsum ipsum. Lorem magna eu qui, nostrud nisi do sit nisi lorem. Cupidatat occaecat irure proident ut. Veniam velit magna duis et sunt voluptate, aute minim elit sunt id occaecat. Ipsum velit pariatur sed sit magna mollit, cillum aliquip eiusmod in consequat et anim. Ullamco voluptate deserunt commodo tempor exercitation velit.
Veniam aliquip velit nulla commodo incididunt magna amet. Ea id dolor irure nisi culpa, eu do in consectetur. Aliqua ipsum incididunt incididunt deserunt, qui velit voluptate fugiat nulla ullamco labore. Cupidatat id eiusmod enim dolore enim fugiat. Labore ipsum tempor culpa ex sit ullamco ad. Cillum dolore non irure. Ullamco tempor qui voluptate reprehenderit. Deserunt anim veniam ea sit, officia qui duis tempor nisi fugiat.
Enim irure culpa pariatur minim esse elit eiusmod. Non fugiat culpa non culpa aute. Ut occaecat enim deserunt culpa nisi adipiscing ullamco. Voluptate est proident irure magna veniam sit, magna fugiat ex ut nulla sed mollit. Elit amet nisi exercitation excepteur. Fugiat quis amet ut sint excepteur voluptate. Cupidatat occaecat nulla incididunt adipiscing.";8;0;2;2;cn
Apple;95edc5ab;16d0d260;Senior Back-End Developer;Esse ad fugiat magna commodo ut id. Dolore proident ullamco dolor sint incididunt nulla velit. Sed esse ex aliqua consectetur magna. Proident officia reprehenderit dolor cupidatat ullamco sed. Sunt sit mollit tempor labore veniam, ipsum aliqua elit duis amet dolore commodo elit. Ullamco laboris ea incididunt amet. Eu pariatur sit do ipsum anim elit.;0;0;0;1;fr
Unibet;cb7be587;12b896fc;Senior Cloud Engineer;"Voluptate labore proident ut non nulla sed eiusmod. Do tempor sint fugiat dolor ut sit, ullamco amet ex quis officia elit pariatur. Amet sunt pariatur dolor enim aliqua ea sunt. Amet aute dolore reprehenderit duis cupidatat laborum est. Ex occaecat reprehenderit deserunt irure occaecat. Lorem enim adipiscing quis exercitation, tempor dolor pariatur dolore nostrud aliquip incididunt. Deserunt irure id nostrud, amet esse officia sint, mollit deserunt quis commodo aliqua velit non ea. Ipsum dolore veniam id ipsum exercitation. Sunt do ullamco laboris tempor minim incididunt.
Amet id ut consectetur in ad ea exercitation, id commodo sunt nisi consectetur veniam. Pariatur do ex magna aute, irure do sunt incididunt dolore ullamco voluptate aute. Minim voluptate est dolor qui. Consectetur deserunt aliquip ullamco cillum consequat nisi amet. Ipsum pariatur ipsum qui sunt. Fugiat reprehenderit non minim ipsum.
Amet ut consectetur minim. Consequat minim nulla do voluptate sint sed do. Tempor excepteur veniam nisi ea, mollit elit deserunt sit amet do minim. Excepteur laborum cupidatat ex laborum do ut amet. Duis ex cillum duis minim est. Reprehenderit ad anim anim aute proident lorem. Tempor duis tempor mollit occaecat, amet excepteur deserunt pariatur adipiscing.";10;0;0;2;us
Netflix;644191b6;0ac336b8;Lead Cloud Engineer;Dolore aliquip ut aliquip sunt proident aliquip, non nisi irure deserunt nostrud. Fugiat excepteur dolore consectetur. Velit consectetur velit ad. In minim aute adipiscing labore ut elit magna. Id incididunt sunt dolor exercitation laboris, labore voluptate anim non velit. Eu mollit aute mollit cillum eu, laboris voluptate tempor eu commodo magna non eiusmod. Quis dolore nulla sit culpa cupidatat. Velit velit quis pariatur est. Occaecat qui commodo exercitation qui, eu commodo mollit velit sed cupidatat eiusmod sit. Reprehenderit adipiscing dolor duis adipiscing dolor esse aute, adipiscing magna voluptate culpa.;0;0;0;1;se
iZettle;0ecb7231;f243497a;Senior HR Officer;"Consequat ipsum non non culpa labore ex mollit. Labore duis proident magna dolor laborum fugiat, elit aliquip incididunt ad ut qui. Veniam anim sit adipiscing reprehenderit magna nisi. Velit dolore qui id aliqua in dolor. Minim labore minim ullamco amet amet sunt, esse consequat sit nisi pariatur qui do, veniam laboris proident amet nostrud sed. Laboris fugiat sed aliqua quis aliquip. Ullamco quis laboris mollit mollit, duis irure cillum sit sit culpa sit. Incididunt amet eu culpa et proident nostrud anim. Culpa laborum mollit ex, veniam sint proident do dolor. Sed non proident exercitation est sit.
Ea duis consectetur consectetur et amet qui commodo. Sit labore cupidatat officia esse, exercitation in non ipsum. Voluptate elit proident sit, amet irure ut consectetur voluptate nulla commodo excepteur. Ullamco excepteur in dolor ipsum aliquip cupidatat fugiat. Anim est occaecat occaecat commodo ea duis lorem. Culpa aliquip eiusmod proident id enim consequat dolore, voluptate minim nulla nostrud, id ea sint veniam cillum. Amet nostrud ut amet, adipiscing ut sunt voluptate.";0;0;4;0;uk
Klarna;51bc004c;00e1c314;Junior Cloud Engineer;"Magna quis anim sit eu consequat, pariatur labore proident consequat non lorem velit minim. Non do labore non. Velit laborum ut aliqua sint dolor proident. Occaecat duis sint fugiat fugiat ea consectetur irure. Ad irure voluptate mollit sit irure sint ullamco, pariatur eiusmod amet ut consequat incididunt cillum nulla, incididunt culpa ut cillum consequat. Labore laborum tempor in aliquip officia eiusmod proident, et aliqua adipiscing proident reprehenderit sunt sunt consequat, enim qui magna quis occaecat pariatur.
Duis deserunt culpa ullamco mollit tempor velit ea, amet sint mollit magna commodo et, culpa sint sint magna aute duis duis. Duis ut esse aute. Nisi sint eu laborum. Eu occaecat enim in pariatur duis aliquip, sed sed dolor occaecat ullamco, sunt sunt aute nisi laborum pariatur aliqua. Id nostrud occaecat nulla elit sint laboris.";0;3;0;0;se
Facebook;59c2377b;8c65ae43;Senior UX Designer;"Do laboris ex non anim sunt, veniam nostrud dolore nisi deserunt elit magna irure. Adipiscing exercitation eu dolore veniam lorem exercitation sint. Eiusmod ipsum eu labore, aliquip eu elit fugiat nulla exercitation enim est, velit sint laboris consectetur. Dolor esse incididunt ea fugiat duis ad. Do sit exercitation quis adipiscing incididunt irure excepteur, est pariatur fugiat ut nulla ex qui, lorem sed non ad nostrud laborum adipiscing.
Consectetur aliqua tempor velit qui anim laborum officia. Consequat mollit aute laborum culpa excepteur. Ullamco quis et nostrud aliquip occaecat occaecat qui, est aliqua duis eu do et et consequat, mollit aute sit mollit qui est. Do sint culpa amet. Labore aliqua ex pariatur quis proident aliquip quis. Sed cillum culpa adipiscing non. Anim deserunt enim ipsum deserunt. Ut voluptate aliqua culpa reprehenderit pariatur. Magna ullamco in quis do tempor eiusmod officia. Id nostrud nostrud ex, enim excepteur laborum aliqua exercitation, veniam nisi eiusmod culpa veniam.";0;0;2;0;in
Facebook;f46b0063;58534b3b;Mid-level UX Designer;Sed amet sunt anim non, qui velit cillum minim consectetur tempor reprehenderit. Cupidatat cupidatat commodo adipiscing culpa laborum. Cillum sed cupidatat officia in voluptate dolore. Laborum amet cillum nisi consectetur quis pariatur commodo, mollit ut fugiat excepteur duis. Reprehenderit velit pariatur do, ipsum nisi est irure sed veniam laborum.;0;0;2;1;ru
